timepoint,date.collected,river,treatment,side,transect,point,og.site.label,time.collected,wet.weight.g,dry.weight.g,date.measured,notes,measurer,typist,date.typed,Checked by?,Date checked?
post1,06/12/2019,PLPE,C,West,250m,OP.edge,C-W-250-OPE,09:20,359,72,03/01/2020,,Rohman,Agung,06/03/2023,,
post2,13/01/2022,PLPE,C,West,250m,OP.edge,C-W-250-OPE,,na,na,21/01/2022,gone,Rohman,Novya,26/04/2022,,
baseline,07/12/2017,PLPE,C,East,350m,buffer.core,C-East-350m-BufferCore,16:05,291,83,08/12/2017,,Rohman,Tantri,09/10/2018,,
post1,05/12/2019,PLPE,C,East,350m,buffer.core,C-E-350-BC,10:43,0,0,03/01/2020,,Rohman,Agung,06/03/2023,,
post2,06/01/2022,PLPE,C,East,350m,buffer.core,C-E-350-BC,,486,140,21/01/2022,,Rohman,Novya,26/04/2022,,
baseline,07/12/2017,PLPE,C,East,350m,OP.core,C-East-350m-OpCore,16:21,na,na,08/12/2017,gone,Rohman,Tantri,09/10/2018,,
post1,05/12/2019,PLPE,C,East,350m,OP.core,C-E-350-OPC,11:15,658,222,03/01/2020,,Rohman,Agung,06/03/2023,,
post2,06/01/2022,PLPE,C,East,350m,OP.core,C-E-350-OPC,,na,na,21/01/2022,gone,Rohman,Novya,26/04/2022,,
baseline,07/12/2017,PLPE,C,East,350m,OP.edge,C-East-350m-OpEdge,16:16,476,130,08/12/2017,,Rohman,Tantri,09/10/2018,,
post1,05/12/2019,PLPE,C,East,350m,OP.edge,C-E-350-OPE,10:48,498,124,03/01/2020,,Rohman,Agung,06/03/2023,,
post2,06/01/2022,PLPE,C,East,350m,OP.edge,C-E-350-OPE,,na,na,21/01/2022,gone,Rohman,Novya,26/04/2022,,
baseline,07/12/2017,PLPE,C,West,400m,buffer.core,C-West-400m-BufferCore,11:15,651,127,08/12/2017,Evaporation control,Rohman,Tantri,09/10/2018,,
post1,11/12/2019,PLPE,C,East,400m,buffer.core,C-E-400-BC,11:40,567,122,03/01/2020,,Rohman,Agung,06/03/2023,,
post2,05/01/2022,PLPE,C,East,400m,buffer.core,C-E-400-BC,,644,118,21/01/2022,Evaporation control,Rohman,Novya,26/04/2022,,
baseline,07/12/2017,PLPE,C,West,400m,OP.core,C-West-400-OpCore,11:40,621,155,08/12/2017,Evaporation control,Rohman,Tantri,09/10/2018,,
post1,11/12/2019,PLPE,C,East,400m,OP.core,C-E-400-OPC,11:58,623,129,03/01/2020,,Rohman,Agung,06/03/2023,,
post2,05/01/2022,PLPE,C,East,400m,OP.core,C-E-400-OPC,,660,124,21/01/2022,Evaporation control,Rohman,Novya,26/04/2022,,
baseline,07/12/2017,PLPE,C,West,400m,OP.edge,C-West-400m-OpEdge,11:20,650,115,08/12/2017,Evaporation control,Rohman,Tantri,09/10/2018,,
post1,11/12/2019,PLPE,C,East,400m,OP.edge,C-E-400-OPE,11:46,566,129,03/01/2020,,Rohman,Agung,06/03/2023,,
post2,05/01/2022,PLPE,C,East,400m,OP.edge,C-E-400-OPE,,620,119,21/01/2022,Evaporation control,Rohman,Novya,26/04/2022,,
baseline,08/12/2017,PLPE,C,West,50m,buffer.core,C-West-50m-BufferCore,09:58,282,62,08/12/2017,,Rohman,Tantri,09/10/2018,,
post1,11/12/2019,PLPE,C,West,50m,buffer.core,C-W-50-BC,11:15,388,159,03/01/2020,,Rohman,Agung,06/03/2023,,
post2,10/01/2022,PLPE,C,West,50m,buffer.core,C-W-50-BC,,na,na,21/01/2022,gone,Rohman,Novya,26/04/2022,,
baseline,08/12/2017,PLPE,C,West,50m,OP.core,C-West-50m-OpCore,10:11,479,123,08/12/2017,,Rohman,Tantri,09/10/2018,,
post1,11/12/2019,PLPE,C,West,50m,OP.core,C-W-50-OPC,11:27,0,0,03/01/2020,,Rohman,Agung,06/03/2023,,
post2,10/01/2022,PLPE,C,West,50m,OP.core,C-W-50-OPC,,na,na,21/01/2022,gone,Rohman,Novya,26/04/2022,,
post2,13/01/2022,PLPE,C,West,50m,OP.core,C-W-50-OPC,,na,na,21/01/2022,gone,Rohman,Novya,26/04/2022,,
baseline,08/12/2017,PLPE,C,West,50m,OP.edge,C-West-50m-OpEdge,10:03,128,40,08/12/2017,,Rohman,Tantri,09/10/2018,,
post1,11/12/2019,PLPE,C,West,50m,OP.edge,C-W-50-OPE,11:19,0,0,03/01/2020,,Rohman,Agung,06/03/2023,,
post2,10/01/2022,PLPE,C,West,50m,OP.edge,C-W-50-OPE,,353,81,21/01/2022,,Rohman,Novya,26/04/2022,,
baseline,08/12/2017,PLPE,D,East,150m,buffer.core,D-East-150m-BufferCore,09:10,121,35,08/12/2017,,Rohman,Tantri,09/10/2018,,
post1,05/12/2019,PLPE,D,East,150m,buffer.core,D-E-150-BC,11:23,474,122,03/01/2020,,Rohman,Agung,06/03/2023,,
post2,05/01/2022,PLPE,D,East,150m,buffer.core,D-E-150-BC,,na,na,21/01/2022,gone,Rohman,Novya,26/04/2022,,
baseline,08/12/2017,PLPE,D,East,150m,OP.core,D-East-150m-OpCore,09:01,64,18,08/12/2017,,Rohman,Tantri,09/10/2018,,
post1,05/12/2019,PLPE,D,East,150m,OP.core,D-E-150-OPC,11:39,496,171,03/01/2020,,Rohman,Agung,06/03/2023,,
post2,05/01/2022,PLPE,D,East,150m,OP.core,D-E-150-OPC,,na,na,21/01/2022,gone,Rohman,Novya,26/04/2022,,
baseline,08/12/2017,PLPE,D,East,150m,OP.edge,D-East-150m-OpEdge,09:04,525,135,08/12/2017,,Rohman,Tantri,09/10/2018,,
post1,05/12/2019,PLPE,D,East,150m,OP.edge,D-E-150-OPE,11:27,596,144,03/01/2020,,Rohman,Agung,06/03/2023,,
post2,05/01/2022,PLPE,D,East,150m,OP.edge,D-E-150-OPE,,600,131,21/01/2022,,Rohman,Novya,26/04/2022,,
baseline,07/12/2017,PLPE,D,West,250m,buffer.core,D-West-250m-BufferCore,10:36,197,93,08/12/2017,,Rohman,Tantri,09/10/2018,,
post1,12/12/2019,PLPE,D,West,250m,buffer.core,D-W-250-BC,10:45,607,172,03/01/2020,,Rohman,Agung,06/03/2023,,
post2,10/01/2022,PLPE,D,West,250m,buffer.core,D-W-250-BC,,na,na,21/01/2022,gone,Rohman,Novya,26/04/2022,,
baseline,07/12/2017,PLPE,D,West,250m,OP.core,D-West-250m-OpCore,10:52,na,na,08/12/2017,gone,Rohman,Tantri,09/10/2018,,
post1,12/12/2019,PLPE,D,West,250m,OP.core,D-W-250-OPC,10:58,0,0,03/01/2020,,Rohman,Agung,06/03/2023,,
post2,10/01/2022,PLPE,D,West,250m,OP.core,D-W-250-OPC,,434,115,21/01/2022,,Rohman,Novya,26/04/2022,,
baseline,07/12/2017,PLPE,D,West,250m,OP.edge,D-West-250m-OpEdge,10:39,506,123,08/12/2017,,Rohman,Tantri,09/10/2018,,
post1,12/12/2019,PLPE,D,West,250m,OP.edge,D-W-250-OPE,10:49,652,112,03/01/2020,,Rohman,Agung,06/03/2023,,
post2,10/01/2022,PLPE,D,West,250m,OP.edge,D-W-250-OPE,,434,114,21/01/2022,,Rohman,Novya,26/04/2022,,
baseline,07/12/2017,PLPE,D,East,350m,buffer.core,D-East-350m-BufferCore,15:25,63,19,08/12/2017,,Rohman,Tantri,09/10/2018,,
post1,06/12/2019,PLPE,D,East,350m,buffer.core,D-E-350-BC,10:03,486,153,03/01/2020,,Rohman,Agung,06/03/2023,,
post2,06/01/2022,PLPE,D,East,350m,buffer.core,D-E-350-BC,,386,90,21/01/2022,,Rohman,Novya,26/04/2022,,
baseline,07/12/2017,PLPE,D,East,350m,OP.core,D-East-350m-OpCore,15:55,na,na,08/12/2017,gone,Rohman,Tantri,09/10/2018,,
post1,06/12/2019,PLPE,D,East,350m,OP.core,D-E-350-OPC,10:12,227,65,03/01/2020,,Rohman,Agung,06/03/2023,,
post2,06/01/2022,PLPE,D,East,350m,OP.core,D-E-350-OPC,,na,na,21/01/2022,gone,Rohman,Novya,26/04/2022,,
baseline,07/12/2017,PLPE,D,East,350m,OP.edge,D-East-350m-OpEdge,15:40,174,58,08/12/2017,,Rohman,Tantri,09/10/2018,,
post1,06/12/2019,PLPE,D,East,350m,OP.edge,D-E-350-OPE,10:08,0,0,03/01/2020,,Rohman,Agung,06/03/2023,,
post2,06/01/2022,PLPE,D,East,350m,OP.edge,D-E-350-OPE,,na,na,21/01/2022,gone,Rohman,Novya,26/04/2022,,
baseline,08/12/2017,PLPE,D,East,400m,buffer.core,D-East-400m-BufferCore,17:19,659,142,08/12/2017,Evaporation control,Rohman,Tantri,09/10/2018,,
post1,05/12/2019,PLPE,D,East,400m,buffer.core,D-E-400-BC,11:47,595,181,03/01/2020,,Rohman,Agung,06/03/2023,,
post2,13/01/2022,PLPE,D,West,400m,buffer.core,D-W-400-BC,,581,114,21/01/2022,Evaporation control,Rohman,Novya,26/04/2022,,
baseline,08/12/2017,PLPE,D,East,400m,OP.core,D-East-400m-OpCore,16:58,643,132,08/12/2017,Evaporation control,Rohman,Tantri,09/10/2018,,
post1,05/12/2019,PLPE,D,East,400m,OP.core,D-E-400-OPC,11:59,587,160,03/01/2020,,Rohman,Agung,06/03/2023,,
post2,13/01/2022,PLPE,D,West,400m,OP.core,D-W-400-OPC,,644,107,21/01/2022,Evaporation control,Rohman,Novya,26/04/2022,,
baseline,08/12/2017,PLPE,D,East,400m,OP.edge,D-East-400m-OpEdge,16:10,618,125,08/12/2017,Evaporation control,Rohman,Tantri,09/10/2018,,
post1,05/12/2019,PLPE,D,East,400m,OP.edge,D-E-400-0PE,11:52,680,258,03/01/2020,,Rohman,Agung,06/03/2023,,
post2,13/01/2022,PLPE,D,West,400m,OP.edge,D-W-400-OPE,,632,105,21/01/2022,Evaporation control,Rohman,Novya,26/04/2022,,
baseline,08/12/2017,PLPE,D,West,50m,buffer.core,D-West-50m-BufferCore,09:25,247,87,08/12/2017,,Rohman,Tantri,09/10/2018,,
post1,11/12/2019,PLPE,D,West,50m,buffer.core,D-W-50-BC,09:32,306,75,03/01/2020,,Rohman,Agung,06/03/2023,,
post2,13/01/2022,PLPE,D,West,50m,buffer.core,D-W-50-BC,,298,87,21/01/2022,,Rohman,Novya,26/04/2022,,
baseline,08/12/2017,PLPE,D,West,50m,OP.core,D-West-50m-OpCore,09:42,525,106,08/12/2017,,Rohman,Tantri,09/10/2018,,
post1,11/12/2019,PLPE,D,West,50m,OP.core,D-W-50-OPC,09:55,541,182,03/01/2020,,Rohman,Agung,06/03/2023,,
post2,13/01/2022,PLPE,D,West,50m,OP.core,D-W-50-OPC,,488,118,21/01/2022,,Rohman,Novya,26/04/2022,,
baseline,08/12/2017,PLPE,D,West,50m,OP.edge,D-West-50m-OpEdge,09:32,614,113,08/12/2017,,Rohman,Tantri,09/10/2018,,
post1,11/12/2019,PLPE,D,West,50m,OP.edge,D-W-50-OPE,09:40,608,200,03/01/2020,,Rohman,Agung,06/03/2023,,
post2,13/01/2022,PLPE,D,West,50m,OP.edge,D-W-50-OPE,,na,na,21/01/2022,gone,Rohman,Novya,26/04/2022,,
baseline,14/12/2018,KNDE,F,East,150m,buffer.core,F-East-150m-BufferCore,9.25,524,116,28/12/2018,,Roman,Maghdalen alviona,15/02/2019,,
post1,01/04/2021,KNDE,F,East,150m,buffer.core,F-E-150-BC,,na,na,07/04/2021,gone,Rohman,Novya,26/04/2022,,
post2,22/05/2023,KNDE,F,East,150m,buffer.core,FE 150 BC,09:48,na,na,30/05/2023,gone,roman,,,,
baseline,14/12/2018,KNDE,F,East,150m,OP.core,F-East-150m-OpCore,9.35,na,na,28/12/2018,gone,Roman,Maghdalen alviona,15/02/2019,,
post1,01/04/2021,KNDE,F,East,150m,OP.core,F-E-150-OPC,,385,94,07/04/2021,,Rohman,Novya,26/04/2022,,
post2,22/05/2023,KNDE,F,East,150m,OP.core,FE 150 OPC,10:08,250,95,30/05/2023,,roman,,,,
