timepoint,date,river,treatment,transect,side,point,veg.plot,number,replicate,position,x.coord,y.coord,original.mm,measure.mm
baseline,23/02/2019,KNDE,G,250,West,OP.core,OPC-2,31,2,Windrow,5,1,150,150
baseline,23/02/2019,KNDE,G,250,West,OP.core,OPC-2,31,3,Circle,4,24,150,150
baseline,23/02/2019,KNDE,G,250,West,OP.core,OPC-2,31,3,Harvesting path,4,19,150,150
baseline,23/02/2019,KNDE,G,250,West,OP.core,OPC-2,31,3,Windrow,7,15,150,150
baseline,23/02/2019,KNDE,H,50,West,OP.core,OPC-1,32,1,Circle,11,15,150,150
baseline,23/02/2019,KNDE,H,50,West,OP.core,OPC-1,32,1,Harvesting path,19,21,150,150
baseline,23/02/2019,KNDE,H,50,West,OP.core,OPC-1,32,1,Windrow,19,4,150,150
baseline,23/02/2019,KNDE,H,50,West,OP.core,OPC-1,32,2,Circle,15,3,150,150
baseline,23/02/2019,KNDE,H,50,West,OP.core,OPC-1,32,2,Harvesting path,23,9,150,150
baseline,23/02/2019,KNDE,H,50,West,OP.core,OPC-1,32,2,Windrow,1,11,150,150
baseline,23/02/2019,KNDE,H,50,West,OP.core,OPC-1,32,3,Circle,24,15,150,150
baseline,23/02/2019,KNDE,H,50,West,OP.core,OPC-1,32,3,Harvesting path,2,10,150,150
baseline,23/02/2019,KNDE,H,50,West,OP.core,OPC-1,32,3,Windrow,14,22,150,150
baseline,23/02/2019,KNDE,H,250,West,OP.core,OPC-2,33,1,Circle,5,1,150,150
baseline,23/02/2019,KNDE,H,250,West,OP.core,OPC-2,33,1,Harvesting path,2,1,150,150
baseline,23/02/2019,KNDE,H,250,West,OP.core,OPC-2,33,1,Windrow,5,5,150,150
baseline,23/02/2019,KNDE,H,250,West,OP.core,OPC-2,33,2,Circle,25,19,150,150
baseline,23/02/2019,KNDE,H,250,West,OP.core,OPC-2,33,2,Harvesting path,12,22,150,150
baseline,23/02/2019,KNDE,H,250,West,OP.core,OPC-2,33,2,Windrow,7,20,150,150
baseline,23/02/2019,KNDE,H,250,West,OP.core,OPC-2,33,3,Circle,17,19,150,150
baseline,23/02/2019,KNDE,H,250,West,OP.core,OPC-2,33,3,Harvesting path,12,15,150,150
baseline,23/02/2019,KNDE,H,250,West,OP.core,OPC-2,33,3,Windrow,24,2,150,150
baseline,23/02/2019,KNDE,I,50,West,OP.core,OPC-1,34,1,Circle,11,25,150,-
baseline,23/02/2019,KNDE,I,50,West,OP.core,OPC-1,34,1,Harvesting path,1,2,150,-
